CD,County,Precincts,Active_Democratic,Active_Green,Active_Libertarian,Active_Republican,Active_Other,Active_Total,Inactive_Democrat,Inactive_Green,Inactive_Libertarian,Inactive_Republican,Inactive_Other,Inactive_Total
1,Apache,45,"27,638",53,160,"8,241","12,148","48,240","2,324",10,26,908,"1,512","4,780"
1,Coconino,71,"32,404",292,866,"20,490","27,409","81,461","3,638",60,175,"2,486","6,457","12,816"
1,Gila,22,"5,934",11,54,"2,824","3,398","12,221","1,090",2,18,508,"1,117","2,735"
1,Graham,22,"5,449",12,77,"7,961","4,307","17,806",846,3,19,"1,146","1,208","3,222"
1,Greenlee,8,"2,038",2,30,"1,328","1,304","4,702",148,0,2,122,166,438
1,Maricopa,3,553,1,6,77,504,"1,141",53,0,1,11,50,115
1,Mohave,2,279,0,2,115,372,768,14,0,0,12,38,64
1,Navajo,14,"25,196",63,422,"20,789","17,473","63,943","2,095",12,56,"1,923","2,156","6,242"
1,Pima,26,"17,546",91,436,"27,951","19,770","65,794","1,703",14,70,"2,615","2,963","7,365"
1,Pinal,60,"32,296",138,692,"31,900","37,239","102,265","5,898",26,124,"3,839","8,107","17,994"
1,Yavapai,7,"5,386",61,158,"6,721","7,163","19,489",566,16,34,612,"1,399","2,627"
2,Cochise,49,"20,121",147,560,"28,296","26,033","75,157","2,240",23,72,"2,765","3,804","8,904"
2,Pima,145,"121,472","1,105","2,842","110,643","103,282","339,344","13,390",235,526,"12,086","20,480","46,717"
3,Maricopa,46,"38,154",148,983,"27,125","43,234","109,644","4,119",19,131,"2,854","7,374","14,497"
3,Pima,77,"67,838",577,"1,101","24,888","44,728","139,132","6,793",101,169,"3,147","8,325","18,535"
3,Pinal,1,152,0,0,11,62,225,19,0,0,2,14,35
3,Santa Cruz,24,"13,352",43,146,"4,206","8,529","26,276","1,017",4,15,376,"1,020","2,432"
3,Yuma,29,"22,191",48,313,"10,774","19,569","52,895","3,515",12,118,"2,402","5,782","11,829"
4,Gila,17,"3,149",23,124,"9,426","4,623","17,345",689,6,38,"1,434","1,437","3,604"
4,La Paz,11,"2,138",12,34,"3,420","3,280","8,884",726,9,15,874,"1,219","2,843"
4,Maricopa,18,"5,089",31,217,"12,401","8,871","26,609",497,7,20,"1,013","1,252","2,789"
4,Mohave,22,"20,278",141,724,"50,275","43,153","114,571","5,699",35,174,"7,793","13,076","26,777"
4,Pinal,41,"18,601",118,808,"33,542","33,903","86,972","4,103",25,149,"4,720","8,764","17,761"
4,Yavapai,38,"23,238",241,938,"55,186","38,298","117,901","2,754",48,180,"5,065","7,963","16,010"
4,Yuma,15,"6,942",19,217,"13,143","11,038","31,359","1,907",7,66,"2,953","4,142","9,075"
5,Maricopa,113,"97,172",584,"4,305","196,832","149,404","448,297","11,574",107,507,"18,852","27,016","58,056"
6,Maricopa,156,"110,914",698,"4,282","183,006","155,875","454,775","9,732",113,515,"13,340","21,123","44,823"
7,Maricopa,105,"127,852",567,"2,647","42,336","106,887","280,289","14,692",87,495,"5,147","19,914","40,335"
8,Maricopa,142,"107,019",618,"3,532","182,221","150,134","443,524","11,357",84,437,"14,836","21,971","48,685"
9,Maricopa,141,"130,932","1,050","4,682","123,486","137,287","397,437","18,341",224,"1,020","14,461","33,419","67,465"
