PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0001 ACACIA,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2371,1256,1108,0.5297342893293969,0.467313369886124,148,0.06242091944327294,"REP - SCHWEIKERT, DAVID",REP
0002 ACOMA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2098,1537,NA,0.7326024785510009,NA,985,0.4694947569113441,"REP - FRANKS, TRENT",REP
0003 ACUNA,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1542,229,1310,0.14850843060959792,0.8495460440985733,1081,0.7010376134889753,"DEM - GALLEGO, RUBEN",DEM
0004 ADOBE,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1462,920,540,0.6292749658002736,0.3693570451436389,380,0.25991792065663477,"REP - SCHWEIKERT, DAVID",REP
0005 AGUA FRIA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1075,756,NA,0.7032558139534884,NA,443,0.41209302325581393,"REP - FRANKS, TRENT",REP
0006 AGUILA,US Rep Dst CD 4,"REP - GOSAR, PAUL","DEM - WEISSER, MIKEL",254,189,65,0.7440944881889764,0.2559055118110236,124,0.4881889763779528,"REP - GOSAR, PAUL",REP
0007 AHWATUKEE,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2876,1205,1661,0.41898470097357443,0.577538247566064,456,0.15855354659248955,"DEM - SINEMA, KYRSTEN",DEM
0008 AIRLINE CANAL,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1358,783,NA,0.5765832106038291,NA,221,0.16273932253313694,"REP - FRANKS, TRENT",REP
0009 ALAMO,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2333,928,1395,0.39777111015859407,0.5979425632233176,467,0.20017145306472356,"DEM - SINEMA, KYRSTEN",DEM
0010 ALEXANDER,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",3993,1713,2271,0.4290007513148009,0.5687453042824944,558,0.13974455296769345,"DEM - SINEMA, KYRSTEN",DEM
0011 ALHAMBRA,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",516,147,366,0.28488372093023256,0.7093023255813954,219,0.4244186046511628,"DEM - GALLEGO, RUBEN",DEM
0012 ALPACA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1332,952,NA,0.7147147147147147,NA,577,0.43318318318318316,"REP - FRANKS, TRENT",REP
0013 ALSUP,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,529,347,NA,0.6559546313799622,NA,169,0.3194706994328923,"REP - FRANKS, TRENT",REP
0014 ALTADENA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1000,755,NA,0.755,NA,515,0.515,"REP - FRANKS, TRENT",REP
0015 ALVARADO,US Rep Dst CD 3,NA,"DEM - GRIJALVA, RAÚL",831,NA,794,NA,0.9554753309265944,757,0.9109506618531888,"DEM - GRIJALVA, RAÚL",DEM
0016 AMBER,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1256,730,520,0.5812101910828026,0.4140127388535032,210,0.16719745222929938,"REP - SCHWEIKERT, DAVID",REP
0017 ANDERSON,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1368,751,615,0.5489766081871345,0.44956140350877194,136,0.09941520467836251,"REP - SCHWEIKERT, DAVID",REP
0018 ANDORA,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1606,868,735,0.5404732254047323,0.4576587795765878,133,0.08281444582814451,"REP - SCHWEIKERT, DAVID",REP
0019 ANGELA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2979,2064,NA,0.6928499496475328,NA,1160,0.38939241356159787,"REP - FRANKS, TRENT",REP
0020 ANNETTE,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2236,1344,887,0.6010733452593918,0.39669051878354206,457,0.20438282647584977,"REP - SCHWEIKERT, DAVID",REP
0021 APACHE,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2311,1522,786,0.6585893552574643,0.3401125054089139,736,0.3184768498485504,"REP - BIGGS, ANDY",REP
0022 APACHE PARK,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1427,997,NA,0.6986685353889278,NA,577,0.4043447792571829,"REP - FRANKS, TRENT",REP
0023 APACHE WELLS,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",3300,2138,1155,0.6478787878787878,0.35,983,0.29787878787878785,"REP - BIGGS, ANDY",REP
0024 APPLEBY,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",3626,2212,1409,0.61003861003861,0.3885824600110314,803,0.22145615002757862,"REP - BIGGS, ANDY",REP
0025 ARBOLEDA,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2796,2041,747,0.7299713876967096,0.26716738197424894,1294,0.4628040057224606,"REP - BIGGS, ANDY",REP
0026 ARCADIA,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2260,904,1350,0.4,0.5973451327433629,446,0.19734513274336285,"DEM - SINEMA, KYRSTEN",DEM
0027 ARDMORE,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",4466,1193,3257,0.2671294223018361,0.7292879534258845,2064,0.46215853112404837,"DEM - GALLEGO, RUBEN",DEM
0028 ARLINGTON,US Rep Dst CD 3,NA,"DEM - GRIJALVA, RAÚL",65,NA,58,NA,0.8923076923076924,51,0.7846153846153847,"DEM - GRIJALVA, RAÚL",DEM
0029 ARROWHEAD RANCH,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1418,972,NA,0.685472496473907,NA,533,0.3758815232722144,"REP - FRANKS, TRENT",REP
0030 ARTESIAN,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",1943,1075,855,0.5532681420483788,0.4400411734431292,220,0.11322696860524961,"REP - BIGGS, ANDY",REP
0031 ASTER,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1787,1172,611,0.6558477895914941,0.34191382204812537,561,0.3139339675433688,"REP - SCHWEIKERT, DAVID",REP
0032 ATHENS,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1770,1186,NA,0.6700564971751413,NA,608,0.3435028248587571,"REP - FRANKS, TRENT",REP
0033 AUGUSTA,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",715,337,378,0.47132867132867134,0.5286713286713287,41,0.057342657342657366,"DEM - WILLIAMSON, W. JOHN",DEM
0034 AVIANO,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2778,1843,934,0.6634269258459323,0.3362131029517639,909,0.32721382289416845,"REP - SCHWEIKERT, DAVID",REP
0035 AVONDALE,US Rep Dst CD 3,NA,"DEM - GRIJALVA, RAÚL",779,NA,751,NA,0.9640564826700898,723,0.9281129653401796,"DEM - GRIJALVA, RAÚL",DEM
0036 AZTEC SPRINGS,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2606,1593,1005,0.61128165771297,0.3856485034535687,588,0.22563315425940134,"REP - BIGGS, ANDY",REP
0037 BALBOA,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2424,831,1578,0.34282178217821785,0.650990099009901,747,0.30816831683168316,"DEM - SINEMA, KYRSTEN",DEM
0038 BALSZ,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1934,501,1425,0.25904860392967943,0.7368148914167528,924,0.4777662874870734,"DEM - GALLEGO, RUBEN",DEM
0039 BARBADOS,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",1408,850,556,0.6036931818181818,0.39488636363636365,294,0.20880681818181812,"REP - BIGGS, ANDY",REP
0040 BARNES,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1543,653,886,0.423201555411536,0.5742060920285159,233,0.15100453661697993,"DEM - SINEMA, KYRSTEN",DEM
0041 BAYSHORE,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",2563,1416,1146,0.5524775653531019,0.44713226687475616,270,0.10534529847834573,"REP - BIGGS, ANDY",REP
0042 BEARDSLEY,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,3345,2426,NA,0.7252615844544096,NA,1518,0.4538116591928251,"REP - FRANKS, TRENT",REP
