PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0001 ACACIA,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2371,1256,1108,0.529734289,0.46731337,148,0.062420919,"REP - SCHWEIKERT, DAVID",REP
0002 ACOMA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,2098,1537,NA,0.732602479,NA,985,0.469494757,"REP - FRANKS, TRENT",REP
0003 ACUNA,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1542,229,1310,0.148508431,0.849546044,1081,0.701037613,"DEM - GALLEGO, RUBEN",DEM
0004 ADOBE,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",1462,920,540,0.629274966,0.369357045,380,0.259917921,"REP - SCHWEIKERT, DAVID",REP
0005 AGUA FRIA,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1075,756,NA,0.703255814,NA,443,0.412093023,"REP - FRANKS, TRENT",REP
0006 AGUILA,US Rep Dst CD 4,"REP - GOSAR, PAUL","DEM - WEISSER, MIKEL",254,189,65,0.744094488,0.255905512,124,0.488188976,"REP - GOSAR, PAUL",REP
0007 AHWATUKEE,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2876,1205,1661,0.418984701,0.577538248,456,0.158553547,"DEM - SINEMA, KYRSTEN",DEM
0008 AIRLINE CANAL,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1358,783,NA,0.576583211,NA,221,0.162739323,"REP - FRANKS, TRENT",REP
0009 ALAMO,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2333,928,1395,0.39777111,0.597942563,467,0.200171453,"DEM - SINEMA, KYRSTEN",DEM
0010 ALEXANDER,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",3993,1713,2271,0.429000751,0.568745304,558,0.139744553,"DEM - SINEMA, KYRSTEN",DEM
