PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0001 ACACIA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2188,1102,989,0.5036563071297989,0.4520109689213894,113,0.0516453382084095,"REP - DUCEY, DOUG",REP
0002 ACOMA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2100,1440,614,0.6857142857142857,0.2923809523809524,826,0.3933333333333333,"REP - DUCEY, DOUG",REP
0003 ACUNA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1247,286,930,0.2293504410585405,0.7457898957497995,644,0.516439454691259,"DEM - GARCIA, DAVID",DEM
0004 ADOBE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1373,879,471,0.640203932993445,0.3430444282592862,408,0.2971595047341588,"REP - DUCEY, DOUG",REP
0005 ADORA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",4331,2734,1535,0.6312629877626414,0.35442161163703534,1199,0.2768413761256061,"REP - DUCEY, DOUG",REP
0006 AGUA FRIA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1103,750,329,0.6799637352674524,0.29827742520398914,421,0.3816863100634632,"REP - DUCEY, DOUG",REP
0007 AGUILA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",220,163,54,0.740909090909091,0.24545454545454545,109,0.4954545454545455,"REP - DUCEY, DOUG",REP
0008 AHWATUKEE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2876,1481,1337,0.5149513212795549,0.4648817802503477,144,0.05006954102920719,"REP - DUCEY, DOUG",REP
0009 AIRLINE CANAL,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1352,701,608,0.518491124260355,0.44970414201183434,93,0.0687869822485207,"REP - DUCEY, DOUG",REP
0010 ALAMO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2063,924,1074,0.4478914202617547,0.5206010664081435,150,0.0727096461463888,"DEM - GARCIA, DAVID",DEM
0011 ALEXANDER,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3915,1946,1918,0.4970625798212005,0.4899106002554278,28,0.0071519795657726815,"REP - DUCEY, DOUG",REP
0012 ALHAMBRA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",501,170,316,0.3393213572854291,0.6307385229540918,146,0.2914171656686627,"DEM - GARCIA, DAVID",DEM
0013 ALPACA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1450,1029,392,0.7096551724137931,0.27034482758620687,637,0.4393103448275862,"REP - DUCEY, DOUG",REP
0014 ALSUP,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",412,261,142,0.633495145631068,0.3446601941747573,119,0.2888349514563107,"REP - DUCEY, DOUG",REP
0015 ALTADENA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",998,706,270,0.7074148296593187,0.27054108216432865,436,0.43687374749499003,"REP - DUCEY, DOUG",REP
0016 ALVARADO,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",862,346,495,0.4013921113689095,0.574245939675174,149,0.1728538283062645,"DEM - GARCIA, DAVID",DEM
0017 AMBER,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1228,637,564,0.5187296416938111,0.4592833876221498,73,0.059446254071661264,"REP - DUCEY, DOUG",REP
0018 ANDERSON,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1264,672,564,0.5316455696202531,0.4462025316455696,108,0.0854430379746835,"REP - DUCEY, DOUG",REP
0019 ANDORA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1509,762,711,0.5049701789264414,0.4711729622266402,51,0.03379721669980118,"REP - DUCEY, DOUG",REP
0020 ANGELA,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2892,1784,1065,0.6168741355463347,0.3682572614107884,719,0.24861687413554634,"REP - DUCEY, DOUG",REP
0021 ANNETTE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",2130,1254,832,0.5887323943661972,0.39061032863849765,422,0.19812206572769953,"REP - DUCEY, DOUG",REP
0022 APACHE,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",902,621,239,0.688470066518847,0.26496674057649666,382,0.42350332594235035,"REP - DUCEY, DOUG",REP
0023 APACHE PARK,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",1394,909,444,0.6520803443328551,0.31850789096126253,465,0.3335724533715926,"REP - DUCEY, DOUG",REP
0024 APACHE WELLS,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3405,2330,993,0.684287812041116,0.2916299559471366,1337,0.3926578560939794,"REP - DUCEY, DOUG",REP
0025 APPLEBY,Governor,"REP - DUCEY, DOUG","DEM - GARCIA, DAVID",3913,2286,1573,0.5842064911832354,0.4019933554817276,713,0.18221313570150782,"REP - DUCEY, DOUG",REP
