PRECINCT_NAME,PRECINCT_ID,CONTEST_TOTAL
0001 ACACIA,1,4351
0002 ACOMA,2,3039
0003 ACUNA,3,3021
0004 ADOBE,4,2405
0005 ADORA,5,5819
0006 AGUA FRIA,6,1512
0007 AGUILA,7,405
0008 AHWATUKEE,8,3620
0009 AIRLINE CANAL,9,2393
0010 ALAMO,10,3982
0011 ALEXANDER,11,4845
0012 ALHAMBRA,12,1114
0013 ALPACA,13,1707
0014 ALSUP,14,997
0015 ALTADENA,15,1514
0016 ALVARADO,16,1673
0017 AMBER,17,1611
0018 ANDERSON,18,1937
0019 ANDORA,19,2376
0020 ANGELA,20,4361
0021 ANNETTE,21,3135
0022 APACHE,22,1529
0023 APACHE PARK,23,2254
0024 APACHE WELLS,24,4871
0025 APPLEBY,25,5180
0026 ARBOLEDA,26,4013
0027 ARCADIA,27,3079
0028 ARDMORE,28,3637
0029 ARLINGTON,29,193
0030 ARROWHEAD RANCH,30,2012
0031 ARTESIAN,31,2899
0032 ASTER,32,2232
0033 ATHENS,33,2802
0034 AUGUSTA,34,1187
0035 AUGUSTA RANCH,35,3260
0036 AVIANO,36,3599
0037 AVONDALE,37,1974
0038 AZTEC SPRINGS,38,4165
0039 BALBOA,39,3522
0040 BALSZ,40,3717
0041 BARNES,41,1996
0042 BAYSHORE,42,5627
0043 BEARDSLEY,43,4570
0044 BERYL,44,1828
0045 BETHANY,45,1619
0046 BETHANY PARK,46,1112
0047 BETHUNE,47,1716
0048 BILTMORE,48,2365
0049 BISCUIT FLAT,49,2624
0050 BLACK CANYON,50,5897
0051 BLACK GOLD,51,2454
0052 BLACKHAWK,52,3481
0053 BLOOM,53,2236
0054 BLUE SKY,54,992
0055 BLUEBIRD,55,5302
0056 BLUEFIELD,56,3350
0057 BONANZA,57,1771
0058 BONSALL PARK,58,870
0059 BREWER,59,3241
0060 BRONCO,60,3459
0061 BROOKS FARM,61,5470
0062 BUCKEYE,62,1599
0063 BUCKLEY,63,2839
0064 BUFFALO RIDGE,64,3775
0065 BULLARD,65,148
0066 BULLMOOSE,66,2005
0067 BUNKER PEAK,67,443
0068 BURGESS,68,2824
0069 BUTLER,69,6357
0070 CACTUS GLEN,70,2789
0071 CAIRO,71,2608
0072 CALAVAR,72,1623
0073 CALAVEROS,73,1519
0074 CALYPSO,74,2884
0075 CAMBRIDGE,75,705
0076 CAMELOT,76,4771
0077 CAMEO,77,3049
0078 CAMPBELL,78,3623
0079 CAMPBELL PARK,79,1721
0080 CANDLELIGHT,80,4736
0081 CANTERBURY,81,2794
0082 CANYON,82,245
0083 CANYON RIM,83,3458
0084 CAPITOL SCHOOL,84,2157
0085 CARDINAL,85,3131
0086 CAREFREE,86,3074
0087 CARL,87,3337
0088 CARLA VISTA,88,2758
0089 CAROL ANN,89,4332
0090 CARON,90,2737
0091 CARRIAGE LANE,91,3127
0092 CARVER,92,3122
0093 CASHION,93,5436
0094 CATAMARAN,94,2834
0095 CAVE BUTTES,95,4231
0096 CAVE CREEK,96,3388
0097 CELAYA,97,2947
0098 CENTENNIAL,98,2191
0099 CENTRAL HIGH,99,2743
0100 CHALLENGER,100,2916
0101 CHANDLER HEIGHTS,101,4687
0102 CHAVEZ,102,1517
0103 CHEATHAM,103,4826
0104 CHENEY,104,3255
0105 CHILTON,105,1874
0106 CHOLLA,106,3736
0107 CHRISTY,107,1786
0108 CIELO,108,3399
0109 CIELO GRANDE,109,2765
0110 CITRUS,110,2344
0111 CITRUS GARDENS,111,3477
0112 CITRUS GROVES,112,4153
0113 CLAY MINE,113,605
0114 CLEARVIEW,114,3345
0115 CLEARWATER,115,1254
0116 CLIFFVIEW,116,1209
0117 CLOUD,117,3110
0118 CLOVER,118,1398
0119 CLUB WEST,119,4969
0120 COCOPAH,120,2052
0121 COLDWATER RIDGE,121,3255
0122 COLONIA,122,5628
0123 COLONNADE,123,2881
0124 COLTER,124,1611
0125 COMET,125,3494
0126 COMMONWEALTH,126,2361
0127 COMPADRE,127,5146
0128 COMSTOCK,128,1889
0129 CONCORD,129,1879
0130 CONQUISTADOR,130,1342
0131 CONTENTION MINE,131,1520
0132 COPPER HILLS,132,2757
0133 COPPERWOOD,133,1739
0134 CORA,134,1467
0135 CORBELL,135,3637
0136 CORDES,136,1230
0137 CORDONIZ,137,2797
0138 CORDOVA,138,1591
0139 CORONA,139,1633
0140 CORONADO,140,3569
0141 CORRINE,141,3068
0142 CORTEZ,142,1790
0143 COTTON LANE,143,4208
0144 COTTONWOOD COUNTRY CLUB,144,4242
0145 COUNTRY GABLES,145,1435
0146 COUNTRY MEADOWS,146,940
0147 COVINA,147,3210
0148 COYOTE BASIN,148,2068
0149 COYOTE HILLS,149,3474
0150 COYOTE LAKES,150,2156
0151 CREEDANCE,151,4253
0152 CREIGHTON,152,3336
0153 CRESCENT,153,1128
0154 CRISMON,154,4877
0155 CROCUS,155,1890
0156 CROSBY,156,1231
0157 CROSSROADS PARK,157,5468
0158 CRYSTAL GARDENS,158,4888
0159 CULLUMBER,159,2433
0160 CULVER,160,1872
0161 DAHLIA,161,1966
0162 DAISY,162,2013
0163 DALLAS,163,4683
0164 DANBURY,164,2969
0165 DANYELL,165,3576
0166 DARROW,166,1972
0167 DC RANCH,167,6745
0168 DEADMAN WASH,168,4329
0169 DEER VALLEY,169,2856
0170 DEERVIEW,170,1093
0171 DEL JOYA,171,3241
0172 DEL RIO,172,3036
0173 DESERT BELL,173,3410
0174 DESERT BLOSSOM,174,1722
0175 DESERT COVE,175,2145
0176 DESERT EDGE,176,4035
0177 DESERT HARBOR,177,4440
0178 DESERT HAVEN,178,4568
0179 DESERT HIGHLANDS,179,2849
0180 DESERT HILLS,180,3731
0181 DESERT MIRAGE,181,2601
0182 DESERT OASIS,182,4641
0183 DESERT SAGE,183,5860
0184 DESERT SKY,184,3000
0185 DESERT THUNDER,185,4748
0186 DESERT VISTA,186,1993
0187 DESOTO,187,1908
0188 DESSIE,188,2799
0189 DEVONSHIRE,189,5164
0190 DIABLO,190,1774
0191 DIXILETA,191,6243
0192 DOBBINS RANCH,192,5923
0193 DOBSON PARK,193,1783
0194 DOBSON RANCH,194,5053
0195 DOUBLETREE,195,2886
0196 DOVE VALLEY,196,2293
0197 DOVER,197,1381
0198 DREAMLAND VILLA,198,5084
0199 DREAMY DRAW,199,2203
0200 DREYFUS,200,2652
0201 DRIFTWOOD,201,5010
0202 DUBLIN,202,2989
0203 DUKE,203,2883
0204 DUNBAR,204,2817
0205 DURANGO,205,2739
0206 DUSTY TRAIL,206,7256
0207 DWIGHT,207,2569
0208 DYNAMITE,208,3542
