GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",total_pop,271,NA
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_age,54.7,5.1
04013010101,"Census Tract 101.01, Maricopa County, Arizona",med_income,98211,10779
04013010102,"Census Tract 101.02, Maricopa County, Arizona",total_pop,232,NA
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_age,58.9,2.5
04013010102,"Census Tract 101.02, Maricopa County, Arizona",med_income,143341,8780
04013030401,"Census Tract 304.01, Maricopa County, Arizona",total_pop,140,NA
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_age,60.3,4
04013030401,"Census Tract 304.01, Maricopa County, Arizona",med_income,88511,18500
04013030402,"Census Tract 304.02, Maricopa County, Arizona",total_pop,224,NA
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_age,52.1,6
04013030402,"Census Tract 304.02, Maricopa County, Arizona",med_income,76833,18909
04013040502,"Census Tract 405.02, Maricopa County, Arizona",total_pop,276,NA
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_age,50.2,4.8
04013040502,"Census Tract 405.02, Maricopa County, Arizona",med_income,32174,7549
04013040506,"Census Tract 405.06, Maricopa County, Arizona",total_pop,347,NA
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_age,73.1,1.8
04013040506,"Census Tract 405.06, Maricopa County, Arizona",med_income,38506,3717
04013040507,"Census Tract 405.07, Maricopa County, Arizona",total_pop,421,NA
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_age,78.7,1.7
04013040507,"Census Tract 405.07, Maricopa County, Arizona",med_income,41913,4337
04013040512,"Census Tract 405.12, Maricopa County, Arizona",total_pop,149,NA
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_age,76.4,1.6
04013040512,"Census Tract 405.12, Maricopa County, Arizona",med_income,56582,4423
04013040513,"Census Tract 405.13, Maricopa County, Arizona",total_pop,220,NA
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_age,76.4,2.1
04013040513,"Census Tract 405.13, Maricopa County, Arizona",med_income,56471,4420
04013040514,"Census Tract 405.14, Maricopa County, Arizona",total_pop,230,NA
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_age,74.1,1.7
04013040514,"Census Tract 405.14, Maricopa County, Arizona",med_income,48298,5495
04013040515,"Census Tract 405.15, Maricopa County, Arizona",total_pop,316,NA
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_age,58.4,2.5
04013040515,"Census Tract 405.15, Maricopa County, Arizona",med_income,47994,3764
04013040516,"Census Tract 405.16, Maricopa County, Arizona",total_pop,163,NA
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_age,62.7,2.1
04013040516,"Census Tract 405.16, Maricopa County, Arizona",med_income,65150,8759
04013040517,"Census Tract 405.17, Maricopa County, Arizona",total_pop,456,NA
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_age,34.6,3.3
04013040517,"Census Tract 405.17, Maricopa County, Arizona",med_income,42800,7367
04013040518,"Census Tract 405.18, Maricopa County, Arizona",total_pop,388,NA
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_age,34.3,5.7
04013040518,"Census Tract 405.18, Maricopa County, Arizona",med_income,58660,3845
04013040519,"Census Tract 405.19, Maricopa County, Arizona",total_pop,245,NA
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_age,59.4,1.8
04013040519,"Census Tract 405.19, Maricopa County, Arizona",med_income,73138,9074
04013040520,"Census Tract 405.20, Maricopa County, Arizona",total_pop,227,NA
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_age,30.7,5.2
04013040520,"Census Tract 405.20, Maricopa County, Arizona",med_income,106078,27131
04013040521,"Census Tract 405.21, Maricopa County, Arizona",total_pop,274,NA
04013040521,"Census Tract 405.21, Maricopa County, Arizona",med_age,28,2.1
04013040521,"Census Tract 405.21, Maricopa County, Arizona",med_income,90540,7320
04013040522,"Census Tract 405.22, Maricopa County, Arizona",total_pop,247,NA
04013040522,"Census Tract 405.22, Maricopa County, Arizona",med_age,76,1
04013040522,"Census Tract 405.22, Maricopa County, Arizona",med_income,50313,12362
04013040523,"Census Tract 405.23, Maricopa County, Arizona",total_pop,220,NA
04013040523,"Census Tract 405.23, Maricopa County, Arizona",med_age,67.2,0.9
04013040523,"Census Tract 405.23, Maricopa County, Arizona",med_income,64450,6364
04013040524,"Census Tract 405.24, Maricopa County, Arizona",total_pop,135,NA
04013040524,"Census Tract 405.24, Maricopa County, Arizona",med_age,67.1,2.6
04013040524,"Census Tract 405.24, Maricopa County, Arizona",med_income,67143,15292
04013040525,"Census Tract 405.25, Maricopa County, Arizona",total_pop,241,NA
04013040525,"Census Tract 405.25, Maricopa County, Arizona",med_age,68.9,0.9
04013040525,"Census Tract 405.25, Maricopa County, Arizona",med_income,55864,6885
04013040526,"Census Tract 405.26, Maricopa County, Arizona",total_pop,157,NA
04013040526,"Census Tract 405.26, Maricopa County, Arizona",med_age,70.4,1.1
04013040526,"Census Tract 405.26, Maricopa County, Arizona",med_income,55630,3687
04013040527,"Census Tract 405.27, Maricopa County, Arizona",total_pop,259,NA
04013040527,"Census Tract 405.27, Maricopa County, Arizona",med_age,49.1,5.9
04013040527,"Census Tract 405.27, Maricopa County, Arizona",med_income,52228,10233
04013040528,"Census Tract 405.28, Maricopa County, Arizona",total_pop,393,NA
04013040528,"Census Tract 405.28, Maricopa County, Arizona",med_age,70.5,1
04013040528,"Census Tract 405.28, Maricopa County, Arizona",med_income,49578,6590
04013040529,"Census Tract 405.29, Maricopa County, Arizona",total_pop,203,NA
04013040529,"Census Tract 405.29, Maricopa County, Arizona",med_age,70.9,1
04013040529,"Census Tract 405.29, Maricopa County, Arizona",med_income,46430,3624
04013040530,"Census Tract 405.30, Maricopa County, Arizona",total_pop,233,NA
04013040530,"Census Tract 405.30, Maricopa County, Arizona",med_age,31.5,3.6
04013040530,"Census Tract 405.30, Maricopa County, Arizona",med_income,53056,4390
04013040531,"Census Tract 405.31, Maricopa County, Arizona",total_pop,190,NA
04013040531,"Census Tract 405.31, Maricopa County, Arizona",med_age,51.8,9
04013040531,"Census Tract 405.31, Maricopa County, Arizona",med_income,37791,6612
04013050603,"Census Tract 506.03, Maricopa County, Arizona",total_pop,299,NA
04013050603,"Census Tract 506.03, Maricopa County, Arizona",med_age,35.9,4
04013050603,"Census Tract 506.03, Maricopa County, Arizona",med_income,55096,13200
04013050604,"Census Tract 506.04, Maricopa County, Arizona",total_pop,314,NA
04013050604,"Census Tract 506.04, Maricopa County, Arizona",med_age,38.5,3
04013050604,"Census Tract 506.04, Maricopa County, Arizona",med_income,64089,10010
04013050605,"Census Tract 506.05, Maricopa County, Arizona",total_pop,526,NA
04013050605,"Census Tract 506.05, Maricopa County, Arizona",med_age,31.1,3.6
04013050605,"Census Tract 506.05, Maricopa County, Arizona",med_income,64356,7149
04013050606,"Census Tract 506.06, Maricopa County, Arizona",total_pop,344,NA
04013050606,"Census Tract 506.06, Maricopa County, Arizona",med_age,40.1,4.9
04013050606,"Census Tract 506.06, Maricopa County, Arizona",med_income,83848,10797
04013050607,"Census Tract 506.07, Maricopa County, Arizona",total_pop,456,NA
04013050607,"Census Tract 506.07, Maricopa County, Arizona",med_age,29.4,1.7
04013050607,"Census Tract 506.07, Maricopa County, Arizona",med_income,64286,4929
04013050608,"Census Tract 506.08, Maricopa County, Arizona",total_pop,357,NA
04013050608,"Census Tract 506.08, Maricopa County, Arizona",med_age,26.5,2.4
04013050608,"Census Tract 506.08, Maricopa County, Arizona",med_income,63532,7602
04013050609,"Census Tract 506.09, Maricopa County, Arizona",total_pop,275,NA
04013050609,"Census Tract 506.09, Maricopa County, Arizona",med_age,31.1,2.9
04013050609,"Census Tract 506.09, Maricopa County, Arizona",med_income,49429,16561
04013050610,"Census Tract 506.10, Maricopa County, Arizona",total_pop,374,NA
04013050610,"Census Tract 506.10, Maricopa County, Arizona",med_age,26.5,2.6
04013050610,"Census Tract 506.10, Maricopa County, Arizona",med_income,79035,11031
04013050611,"Census Tract 506.11, Maricopa County, Arizona",total_pop,212,NA
04013050611,"Census Tract 506.11, Maricopa County, Arizona",med_age,27.9,2.7
04013050611,"Census Tract 506.11, Maricopa County, Arizona",med_income,76181,8366
04013050701,"Census Tract 507.01, Maricopa County, Arizona",total_pop,291,NA
04013050701,"Census Tract 507.01, Maricopa County, Arizona",med_age,28,1.8
04013050701,"Census Tract 507.01, Maricopa County, Arizona",med_income,52010,8239
04013050702,"Census Tract 507.02, Maricopa County, Arizona",total_pop,346,NA
04013050702,"Census Tract 507.02, Maricopa County, Arizona",med_age,27.6,5.3
04013050702,"Census Tract 507.02, Maricopa County, Arizona",med_income,36471,14731
04013060801,"Census Tract 608.01, Maricopa County, Arizona",total_pop,326,NA
04013060801,"Census Tract 608.01, Maricopa County, Arizona",med_age,39.5,7.6
04013060801,"Census Tract 608.01, Maricopa County, Arizona",med_income,32708,6918
04013060802,"Census Tract 608.02, Maricopa County, Arizona",total_pop,171,NA
04013060802,"Census Tract 608.02, Maricopa County, Arizona",med_age,28.1,4
04013060802,"Census Tract 608.02, Maricopa County, Arizona",med_income,58341,9198
04013060901,"Census Tract 609.01, Maricopa County, Arizona",total_pop,251,NA
04013060901,"Census Tract 609.01, Maricopa County, Arizona",med_age,29,2.8
04013060901,"Census Tract 609.01, Maricopa County, Arizona",med_income,53416,4676
04013060902,"Census Tract 609.02, Maricopa County, Arizona",total_pop,196,NA
04013060902,"Census Tract 609.02, Maricopa County, Arizona",med_age,29,5.9
04013060902,"Census Tract 609.02, Maricopa County, Arizona",med_income,35319,5058
04013060903,"Census Tract 609.03, Maricopa County, Arizona",total_pop,268,NA
04013060903,"Census Tract 609.03, Maricopa County, Arizona",med_age,23.4,2.3
04013060903,"Census Tract 609.03, Maricopa County, Arizona",med_income,35128,7583
04013060904,"Census Tract 609.04, Maricopa County, Arizona",total_pop,187,NA
04013060904,"Census Tract 609.04, Maricopa County, Arizona",med_age,24,2.6
04013060904,"Census Tract 609.04, Maricopa County, Arizona",med_income,36944,9430
04013061009,"Census Tract 610.09, Maricopa County, Arizona",total_pop,381,NA
04013061009,"Census Tract 610.09, Maricopa County, Arizona",med_age,31.8,2.8
04013061009,"Census Tract 610.09, Maricopa County, Arizona",med_income,67654,8886
04013061010,"Census Tract 610.10, Maricopa County, Arizona",total_pop,256,NA
04013061010,"Census Tract 610.10, Maricopa County, Arizona",med_age,45.1,1.4
04013061010,"Census Tract 610.10, Maricopa County, Arizona",med_income,82065,18153
04013061011,"Census Tract 610.11, Maricopa County, Arizona",total_pop,303,NA
04013061011,"Census Tract 610.11, Maricopa County, Arizona",med_age,27.6,3.3
04013061011,"Census Tract 610.11, Maricopa County, Arizona",med_income,48915,2920
04013061012,"Census Tract 610.12, Maricopa County, Arizona",total_pop,296,NA
04013061012,"Census Tract 610.12, Maricopa County, Arizona",med_age,41.2,4.8
04013061012,"Census Tract 610.12, Maricopa County, Arizona",med_income,60565,5561
04013061013,"Census Tract 610.13, Maricopa County, Arizona",total_pop,289,NA
04013061013,"Census Tract 610.13, Maricopa County, Arizona",med_age,27.8,5.4
04013061013,"Census Tract 610.13, Maricopa County, Arizona",med_income,73642,6488
04013061014,"Census Tract 610.14, Maricopa County, Arizona",total_pop,161,NA
