GEOID,NAME,variable,estimate,moe
04013010101,"Census Tract 101.01, Maricopa County, Arizona",white,4836,691
04013010101,"Census Tract 101.01, Maricopa County, Arizona",black,0,12
04013010101,"Census Tract 101.01, Maricopa County, Arizona",native,15,24
04013010101,"Census Tract 101.01, Maricopa County, Arizona",asian,28,32
04013010101,"Census Tract 101.01, Maricopa County, Arizona",hispanic,29,55
04013010102,"Census Tract 101.02, Maricopa County, Arizona",white,3820,598
04013010102,"Census Tract 101.02, Maricopa County, Arizona",black,24,40
04013010102,"Census Tract 101.02, Maricopa County, Arizona",native,14,24
04013010102,"Census Tract 101.02, Maricopa County, Arizona",asian,72,63
04013010102,"Census Tract 101.02, Maricopa County, Arizona",hispanic,73,52
04013030401,"Census Tract 304.01, Maricopa County, Arizona",white,3791,408
04013030401,"Census Tract 304.01, Maricopa County, Arizona",black,0,12
04013030401,"Census Tract 304.01, Maricopa County, Arizona",native,2,5
04013030401,"Census Tract 304.01, Maricopa County, Arizona",asian,65,106
04013030401,"Census Tract 304.01, Maricopa County, Arizona",hispanic,179,182
04013030402,"Census Tract 304.02, Maricopa County, Arizona",white,3642,407
04013030402,"Census Tract 304.02, Maricopa County, Arizona",black,10,19
04013030402,"Census Tract 304.02, Maricopa County, Arizona",native,14,16
04013030402,"Census Tract 304.02, Maricopa County, Arizona",asian,53,83
04013030402,"Census Tract 304.02, Maricopa County, Arizona",hispanic,137,99
04013040502,"Census Tract 405.02, Maricopa County, Arizona",white,4384,442
04013040502,"Census Tract 405.02, Maricopa County, Arizona",black,0,17
04013040502,"Census Tract 405.02, Maricopa County, Arizona",native,29,34
04013040502,"Census Tract 405.02, Maricopa County, Arizona",asian,2,5
04013040502,"Census Tract 405.02, Maricopa County, Arizona",hispanic,753,348
04013040506,"Census Tract 405.06, Maricopa County, Arizona",white,5300,410
04013040506,"Census Tract 405.06, Maricopa County, Arizona",black,0,17
04013040506,"Census Tract 405.06, Maricopa County, Arizona",native,0,17
04013040506,"Census Tract 405.06, Maricopa County, Arizona",asian,0,17
